Station_ID	Station_Name	Division	Latitude	Longitude	Elevation_m	Date	Time	Season	Temp_Max_C	Temp_Min_C	Current_Temp_C	Temp_Range_C	Rainfall_mm	Humidity_Morning_Pct	Humidity_Evening_Pct	Wind_Speed_kmh	Surface_Pressure_hPa	Rainfall_Lag1_mm	Target_Rain_Tomorrow
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/20/2025	8:20	Monsoon	30.2	22	27.8	8.2	0	88	73	4.7	1003.8	0	0
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/20/2025	9:20	Monsoon	32.1	25.2	27.6	6.9	0	82	77	20.4	1009.6	0	0
BMD-166	Sreemangal	Sylhet	24.3065	91.7296	26	7/20/2025	10:20	Monsoon	29.5	22.9	28.2	6.6	20.5	80	54	11.5	1008.9	0	1
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/20/2025	11:20	Monsoon	27	18.1	27	8.9	0	96	73	3.6	1004.8	20.5	0
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/20/2025	12:20	Monsoon	27.5	17.2	26.3	10.3	0	94	62	20.1	1015.9	0	0
BMD-075	Gazipur	Dhaka	23.9999	90.4203	8	7/20/2025	13:20	Monsoon	27.8	18.7	25.9	9.1	0	91	85	10.5	1013	0	0
BMD-481	Narayanganj	Dhaka	23.6238	90.5	3	7/20/2025	14:20	Monsoon	32.2	24.6	26.6	7.6	0	74	82	19.2	1016.9	0	0
BMD-187	Mymensingh	Mymensingh	24.7471	90.4203	19	7/20/2025	15:20	Monsoon	35.3	25	25.8	10.3	0	95	80	7.8	1003.7	0	1
BMD-869	Rangpur	Rangpur	25.7439	89.2752	34	7/20/2025	16:20	Monsoon	36.7	29.9	29.9	6.8	0	79	61	17.4	1014.8	0	0
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/20/2025	17:20	Monsoon	34.2	23.3	29.7	10.9	0	99	64	25.8	1016.1	0	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/20/2025	18:20	Monsoon	36.4	29	29.7	7.4	0	78	79	13.8	1011.5	0	0
BMD-421	Khulna	Khulna	22.8456	89.5403	9	7/20/2025	19:20	Monsoon	35.3	27.5	29	7.8	0	90	70	22.8	1010.8	0	0
BMD-071	Cox's Bazar	Chittagong	21.4272	92.0058	3	7/20/2025	20:20	Monsoon	28.9	18.7	28.5	10.2	2.3	80	80	6.5	1005.9	0	1
BMD-499	Jessore	Khulna	23.1664	89.2081	16	7/20/2025	21:20	Monsoon	28.9	19.9	28.9	9	29.5	82	82	8.9	1016.1	2.3	1
BMD-187	Mymensingh	Mymensingh	24.7471	90.4203	19	7/20/2025	22:20	Monsoon	29.6	23.4	29.5	6.2	0	72	71	23.5	1016.3	29.5	0
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/20/2025	23:20	Monsoon	28	20.7	28	7.3	0	75	60	16.8	1002.5	0	0
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/21/2025	0:20	Monsoon	34.7	28.1	28.1	6.6	0	84	62	22.8	1009	0	0
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/21/2025	1:20	Monsoon	29.8	21.6	27.8	8.2	0	88	51	9.8	1006.7	0	0
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/21/2025	2:20	Monsoon	35.1	25.8	27.5	9.3	0	80	46	24.2	1011.5	0	0
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/21/2025	3:20	Monsoon	31.5	22.5	27.5	9	0	87	79	25.7	1014.1	0	0
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/21/2025	4:20	Monsoon	29.6	23.2	26.8	6.4	0	99	45	20.4	1011.3	0	1
BMD-075	Gazipur	Dhaka	23.9999	90.4203	8	7/21/2025	5:20	Monsoon	31.5	22.4	27.5	9.1	0	77	66	18.4	1012.2	0	0
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/21/2025	6:20	Monsoon	33.7	25.1	27.1	8.6	0	77	45	16.9	1012.4	0	0
BMD-531	Sylhet	Sylhet	24.8949	91.8687	35	7/21/2025	7:20	Monsoon	32.2	23.4	26.4	8.8	15.8	77	75	8.2	1005.7	0	1
BMD-075	Gazipur	Dhaka	23.9999	90.4203	8	7/21/2025	8:20	Monsoon	34.2	24.6	25.6	9.6	0	77	58	20.1	1004	15.8	0
BMD-071	Cox's Bazar	Chittagong	21.4272	92.0058	3	7/21/2025	9:20	Monsoon	32.2	24.4	26.1	7.8	12.5	96	73	11	1004.1	0	1
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/21/2025	10:20	Monsoon	33.1	25.6	25.6	7.5	0	98	87	21.6	1008.3	12.5	1
BMD-038	Dinajpur	Rangpur	25.6279	88.6332	38	7/21/2025	11:20	Monsoon	31.4	21.3	25.4	10.1	0	69	50	20.4	1012.5	0	0
BMD-071	Cox's Bazar	Chittagong	21.4272	92.0058	3	7/21/2025	12:20	Monsoon	30.9	22.9	25.2	8	0	99	78	10.9	1009.1	0	1
BMD-499	Jessore	Khulna	23.1664	89.2081	16	7/21/2025	13:20	Monsoon	30.9	23.4	26	7.5	36.9	83	61	4.5	1016	0	1
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/21/2025	14:20	Monsoon	29	18.2	25.4	10.8	0	97	46	18.4	1009.6	36.9	1
BMD-998	Chittagong	Chittagong	22.3569	91.7832	12	7/21/2025	15:20	Monsoon	29.7	22.8	25.2	6.9	34.2	77	59	12.7	1016.2	0	1
BMD-071	Cox's Bazar	Chittagong	21.4272	92.0058	3	7/21/2025	16:20	Monsoon	33.8	26.7	26.7	7.1	26.3	72	83	22.9	1003	34.2	1
BMD-998	Chittagong	Chittagong	22.3569	91.7832	12	7/21/2025	17:20	Monsoon	34.4	27.3	27.3	7.1	7.6	81	65	7	1016.3	26.3	1
BMD-075	Gazipur	Dhaka	23.9999	90.4203	8	7/21/2025	18:20	Monsoon	36.1	27.8	27.8	8.3	6.5	82	55	2.3	1004.9	7.6	1
BMD-071	Cox's Bazar	Chittagong	21.4272	92.0058	3	7/21/2025	19:20	Monsoon	29.5	21.2	27.9	8.3	0	81	57	20.9	1016.6	6.5	0
BMD-499	Jessore	Khulna	23.1664	89.2081	16	7/21/2025	20:20	Monsoon	30.2	21.2	27.4	9	26.7	78	46	10.9	1006.4	0	1
BMD-869	Rangpur	Rangpur	25.7439	89.2752	34	7/21/2025	21:20	Monsoon	34.3	27.2	27.7	7.1	0	89	59	20.2	1017.9	26.7	0
BMD-623	Patuakhali	Barisal	22.3596	90.3299	3	7/21/2025	22:20	Monsoon	32.3	26.1	28.4	6.2	0	97	62	24.4	1014.2	0	0
BMD-075	Gazipur	Dhaka	23.9999	90.4203	8	7/21/2025	23:20	Monsoon	35.9	27.9	27.9	8	0	70	85	18.3	1013.8	0	0
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/22/2025	0:20	Monsoon	28.5	20.8	27.9	7.7	18.6	94	67	9.4	1012.2	0	1
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/22/2025	1:20	Monsoon	32	21.2	28.7	10.8	0	68	62	3	1010.4	18.6	0
BMD-499	Jessore	Khulna	23.1664	89.2081	16	7/22/2025	2:20	Monsoon	29	18	28.2	11	0	93	48	25.8	1003.5	0	0
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/22/2025	3:20	Monsoon	37	26.8	28	10.2	0	69	58	25.5	1004.9	0	1
BMD-998	Chittagong	Chittagong	22.3569	91.7832	12	7/22/2025	4:20	Monsoon	32.7	23.9	28.2	8.8	0	89	50	19.7	1016.7	0	0
BMD-869	Rangpur	Rangpur	25.7439	89.2752	34	7/22/2025	5:20	Monsoon	35.8	25	28.7	10.8	0	93	57	14.2	1003.5	0	1
BMD-187	Mymensingh	Mymensingh	24.7471	90.4203	19	7/22/2025	6:20	Monsoon	30.5	23.5	28.5	7	0	87	63	17.7	1003.9	0	0
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/22/2025	7:20	Monsoon	35.8	28.8	28.8	7	0	96	55	2.9	1017.3	0	1
BMD-683	Barisal	Barisal	22.701	90.3535	4	7/22/2025	8:20	Monsoon	33.1	24.3	28.2	8.8	0	74	86	19.5	1005.5	0	0
BMD-187	Mymensingh	Mymensingh	24.7471	90.4203	19	7/22/2025	9:20	Monsoon	35.1	26.2	27.5	8.9	2.3	90	87	18.6	1011	0	1
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/22/2025	10:20	Monsoon	30.6	23.5	27.3	7.1	0	82	78	21.2	1010.8	2.3	0
BMD-282	Dhaka	Dhaka	23.8103	90.4125	4	7/22/2025	11:20	Monsoon	30.1	21	27	9.1	0	96	75	23.7	1012.4	0	0
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/22/2025	12:20	Monsoon	36.8	27.4	27.4	9.4	0	81	72	20.2	1013	0	0
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/22/2025	13:20	Monsoon	29.2	22.5	27.3	6.7	4.8	92	70	17.2	1002.5	0	1
BMD-197	Rajshahi	Rajshahi	24.3745	88.6042	18	7/22/2025	14:20	Monsoon	34.6	28.5	28.5	6.1	0	86	71	17.7	1005	4.8	0
BMD-071	Cox's Bazar	Chittagong	21.4272	92.0058	3	7/22/2025	15:20	Monsoon	29.7	21.7	28.5	8	29	91	75	16.5	1017.4	0	1
BMD-075	Gazipur	Dhaka	23.9999	90.4203	8	7/22/2025	16:20	Monsoon	33.4	25.4	29	8	0	92	73	19.8	1016	29	0
BMD-075	Gazipur	Dhaka	23.9999	90.4203	8	7/22/2025	17:20	Monsoon	30.5	19.9	29.6	10.6	33.7	75	50	5.1	1016.7	0	1
BMD-625	Tangail	Dhaka	24.2513	89.9167	10	7/22/2025	18:20	Monsoon	35.3	26	29.6	9.3	0	97	53	5.9	1004.8	33.7	1
BMD-636	Bogra	Rajshahi	24.8465	89.377	20	7/22/2025	19:20	Monsoon	35	26.2	29	8.8	0	95	87	13.8	1010.6	0	0
